gap_size,mean,zone
0,-0.19967437057421825,non
1,-0.04103518588265668,non
2,-0.05546643642357091,non
3,-0.04817272313521568,non
4,0.08231496931941618,non
5,0.0806807439159208,non
6,0.02423165717509541,non
7,0.0686001935417385,non
8,0.055445129280630584,non
9,0.049953531083933925,non
10,-0.005641338762162499,non
11,-0.0043260912825742,non
12,-0.046195776756777586,non
13,-0.020368329157000157,non
14,0.003237532745087154,non
15,0.032464817033636545,non
16,0.02882040671015509,non
17,0.0411753749428743,non
18,0.04278862550060336,non
19,0.037790965321254866,non
20,0.01986287425348997,non
