arm,gap,count,min_max,frequency
4,0,1,min,0.058823529411764705
6,5,1,min,0.058823529411764705
6,7,1,min,0.058823529411764705
6,14,1,min,0.058823529411764705
7,20,1,min,0.058823529411764705
9,9,1,min,0.058823529411764705
10,1,1,min,0.058823529411764705
10,3,2,min,0.11764705882352941
10,5,1,min,0.058823529411764705
10,7,1,min,0.058823529411764705
10,8,1,min,0.058823529411764705
10,16,1,min,0.058823529411764705
10,19,1,min,0.058823529411764705
11,2,1,min,0.058823529411764705
11,13,1,min,0.058823529411764705
11,18,1,min,0.058823529411764705
6,15,1,max,0.058823529411764705
7,6,2,max,0.11764705882352941
8,2,1,max,0.058823529411764705
8,5,1,max,0.058823529411764705
9,13,1,max,0.058823529411764705
10,4,1,max,0.058823529411764705
10,6,1,max,0.058823529411764705
11,4,2,max,0.11764705882352941
11,20,1,max,0.058823529411764705
12,6,1,max,0.058823529411764705
12,7,1,max,0.058823529411764705
12,11,1,max,0.058823529411764705
13,0,1,max,0.058823529411764705
14,3,1,max,0.058823529411764705
14,18,1,max,0.058823529411764705
