,arm_3_gap_0,arm_3_gap_1,arm_3_gap_2,arm_3_gap_3,arm_3_gap_4,arm_3_gap_5,arm_3_gap_6,arm_3_gap_7,arm_3_gap_8,arm_3_gap_9,arm_3_gap_10,arm_3_gap_11,arm_3_gap_12,arm_3_gap_13,arm_3_gap_14,arm_3_gap_15,arm_3_gap_16,arm_3_gap_17,arm_3_gap_18,arm_3_gap_19,arm_3_gap_20,arm_4_gap_0,arm_4_gap_1,arm_4_gap_2,arm_4_gap_3,arm_4_gap_4,arm_4_gap_5,arm_4_gap_6,arm_4_gap_7,arm_4_gap_8,arm_4_gap_9,arm_4_gap_10,arm_4_gap_11,arm_4_gap_12,arm_4_gap_13,arm_4_gap_14,arm_4_gap_15,arm_4_gap_16,arm_4_gap_17,arm_4_gap_18,arm_4_gap_19,arm_4_gap_20,arm_5_gap_0,arm_5_gap_1,arm_5_gap_2,arm_5_gap_3,arm_5_gap_4,arm_5_gap_5,arm_5_gap_6,arm_5_gap_7,arm_5_gap_8,arm_5_gap_9,arm_5_gap_10,arm_5_gap_11,arm_5_gap_12,arm_5_gap_13,arm_5_gap_14,arm_5_gap_15,arm_5_gap_16,arm_5_gap_17,arm_5_gap_18,arm_5_gap_19,arm_5_gap_20,arm_6_gap_0,arm_6_gap_1,arm_6_gap_2,arm_6_gap_3,arm_6_gap_4,arm_6_gap_5,arm_6_gap_6,arm_6_gap_7,arm_6_gap_8,arm_6_gap_9,arm_6_gap_10,arm_6_gap_11,arm_6_gap_12,arm_6_gap_13,arm_6_gap_14,arm_6_gap_15,arm_6_gap_16,arm_6_gap_17,arm_6_gap_18,arm_6_gap_19,arm_6_gap_20,arm_7_gap_0,arm_7_gap_1,arm_7_gap_2,arm_7_gap_3,arm_7_gap_4,arm_7_gap_5,arm_7_gap_6,arm_7_gap_7,arm_7_gap_8,arm_7_gap_9,arm_7_gap_10,arm_7_gap_11,arm_7_gap_12,arm_7_gap_13,arm_7_gap_14,arm_7_gap_15,arm_7_gap_16,arm_7_gap_17,arm_7_gap_18,arm_7_gap_19,arm_7_gap_20,arm_8_gap_0,arm_8_gap_1,arm_8_gap_2,arm_8_gap_3,arm_8_gap_4,arm_8_gap_5,arm_8_gap_6,arm_8_gap_7,arm_8_gap_8,arm_8_gap_9,arm_8_gap_10,arm_8_gap_11,arm_8_gap_12,arm_8_gap_13,arm_8_gap_14,arm_8_gap_15,arm_8_gap_16,arm_8_gap_17,arm_8_gap_18,arm_8_gap_19,arm_8_gap_20,arm_9_gap_0,arm_9_gap_1,arm_9_gap_2,arm_9_gap_3,arm_9_gap_4,arm_9_gap_5,arm_9_gap_6,arm_9_gap_7,arm_9_gap_8,arm_9_gap_9,arm_9_gap_10,arm_9_gap_11,arm_9_gap_12,arm_9_gap_13,arm_9_gap_14,arm_9_gap_15,arm_9_gap_16,arm_9_gap_17,arm_9_gap_18,arm_9_gap_19,arm_9_gap_20,arm_10_gap_0,arm_10_gap_1,arm_10_gap_2,arm_10_gap_3,arm_10_gap_4,arm_10_gap_5,arm_10_gap_6,arm_10_gap_7,arm_10_gap_8,arm_10_gap_9,arm_10_gap_10,arm_10_gap_11,arm_10_gap_12,arm_10_gap_13,arm_10_gap_14,arm_10_gap_15,arm_10_gap_16,arm_10_gap_17,arm_10_gap_18,arm_10_gap_19,arm_10_gap_20,arm_11_gap_0,arm_11_gap_1,arm_11_gap_2,arm_11_gap_3,arm_11_gap_4,arm_11_gap_5,arm_11_gap_6,arm_11_gap_7,arm_11_gap_8,arm_11_gap_9,arm_11_gap_10,arm_11_gap_11,arm_11_gap_12,arm_11_gap_13,arm_11_gap_14,arm_11_gap_15,arm_11_gap_16,arm_11_gap_17,arm_11_gap_18,arm_11_gap_19,arm_11_gap_20,arm_12_gap_0,arm_12_gap_1,arm_12_gap_2,arm_12_gap_3,arm_12_gap_4,arm_12_gap_5,arm_12_gap_6,arm_12_gap_7,arm_12_gap_8,arm_12_gap_9,arm_12_gap_10,arm_12_gap_11,arm_12_gap_12,arm_12_gap_13,arm_12_gap_14,arm_12_gap_15,arm_12_gap_16,arm_12_gap_17,arm_12_gap_18,arm_12_gap_19,arm_12_gap_20,arm_13_gap_0,arm_13_gap_1,arm_13_gap_2,arm_13_gap_3,arm_13_gap_4,arm_13_gap_5,arm_13_gap_6,arm_13_gap_7,arm_13_gap_8,arm_13_gap_9,arm_13_gap_10,arm_13_gap_11,arm_13_gap_12,arm_13_gap_13,arm_13_gap_14,arm_13_gap_15,arm_13_gap_16,arm_13_gap_17,arm_13_gap_18,arm_13_gap_19,arm_13_gap_20,arm_14_gap_0,arm_14_gap_1,arm_14_gap_2,arm_14_gap_3,arm_14_gap_4,arm_14_gap_5,arm_14_gap_6,arm_14_gap_7,arm_14_gap_8,arm_14_gap_9,arm_14_gap_10,arm_14_gap_11,arm_14_gap_12,arm_14_gap_13,arm_14_gap_14,arm_14_gap_15,arm_14_gap_16,arm_14_gap_17,arm_14_gap_18,arm_14_gap_19,arm_14_gap_20,arm_15_gap_0,arm_15_gap_1,arm_15_gap_2,arm_15_gap_3,arm_15_gap_4,arm_15_gap_5,arm_15_gap_6,arm_15_gap_7,arm_15_gap_8,arm_15_gap_9,arm_15_gap_10,arm_15_gap_11,arm_15_gap_12,arm_15_gap_13,arm_15_gap_14,arm_15_gap_15,arm_15_gap_16,arm_15_gap_17,arm_15_gap_18,arm_15_gap_19,arm_15_gap_20,arm_16_gap_0,arm_16_gap_1,arm_16_gap_2,arm_16_gap_3,arm_16_gap_4,arm_16_gap_5,arm_16_gap_6,arm_16_gap_7,arm_16_gap_8,arm_16_gap_9,arm_16_gap_10,arm_16_gap_11,arm_16_gap_12,arm_16_gap_13,arm_16_gap_14,arm_16_gap_15,arm_16_gap_16,arm_16_gap_17,arm_16_gap_18,arm_16_gap_19,arm_16_gap_20,arm_17_gap_0,arm_17_gap_1,arm_17_gap_2,arm_17_gap_3,arm_17_gap_4,arm_17_gap_5,arm_17_gap_6,arm_17_gap_7,arm_17_gap_8,arm_17_gap_9,arm_17_gap_10,arm_17_gap_11,arm_17_gap_12,arm_17_gap_13,arm_17_gap_14,arm_17_gap_15,arm_17_gap_16,arm_17_gap_17,arm_17_gap_18,arm_17_gap_19,arm_17_gap_20,arm_18_gap_0,arm_18_gap_1,arm_18_gap_2,arm_18_gap_3,arm_18_gap_4,arm_18_gap_5,arm_18_gap_6,arm_18_gap_7,arm_18_gap_8,arm_18_gap_9,arm_18_gap_10,arm_18_gap_11,arm_18_gap_12,arm_18_gap_13,arm_18_gap_14,arm_18_gap_15,arm_18_gap_16,arm_18_gap_17,arm_18_gap_18,arm_18_gap_19,arm_18_gap_20,arm_19_gap_0,arm_19_gap_1,arm_19_gap_2,arm_19_gap_3,arm_19_gap_4,arm_19_gap_5,arm_19_gap_6,arm_19_gap_7,arm_19_gap_8,arm_19_gap_9,arm_19_gap_10,arm_19_gap_11,arm_19_gap_12,arm_19_gap_13,arm_19_gap_14,arm_19_gap_15,arm_19_gap_16,arm_19_gap_17,arm_19_gap_18,arm_19_gap_19,arm_19_gap_20,arm_20_gap_0,arm_20_gap_1,arm_20_gap_2,arm_20_gap_3,arm_20_gap_4,arm_20_gap_5,arm_20_gap_6,arm_20_gap_7,arm_20_gap_8,arm_20_gap_9,arm_20_gap_10,arm_20_gap_11,arm_20_gap_12,arm_20_gap_13,arm_20_gap_14,arm_20_gap_15,arm_20_gap_16,arm_20_gap_17,arm_20_gap_18,arm_20_gap_19,arm_20_gap_20
chromosome_GCF_000005845.2_ASM584v2,5903,7130,5192,4921,5553,5725,5646,5828,5698,5612,5462,5444,5395,5300,5394,5295,5518,5418,5413,5436,5318,1501,1982,1474,1460,1781,1634,1557,1643,1493,1501,1460,1529,1416,1460,1420,1479,1513,1484,1444,1495,1385,423,557,577,432,612,582,420,454,442,428,414,423,430,408,423,403,462,428,412,414,419,125,182,144,156,198,166,156,149,126,131,148,120,160,131,147,149,151,126,114,134,115,45,59,30,50,107,68,78,50,53,44,48,115,46,45,44,40,191,62,115,75,36,15,26,28,25,60,41,45,33,23,38,33,20,21,19,26,23,21,20,16,11,20,14,6,16,14,40,35,37,24,19,8,16,11,9,9,12,5,8,5,4,5,3,4,11,8,11,36,20,19,8,12,10,11,5,11,11,5,3,1,4,3,1,1,3,7,7,9,28,18,18,9,11,4,8,7,3,5,4,3,5,4,5,1,0,4,6,7,4,24,8,8,9,10,0,3,3,2,3,0,2,4,2,0,1,1,4,4,2,2,8,3,6,2,2,2,0,4,2,0,1,0,1,0,0,0,0,0,4,2,1,1,5,2,2,2,2,2,0,0,0,0,0,5,0,0,0,0,1,1,3,1,2,2,1,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000009045.1_ASM904v1,4733,5475,4099,4379,4346,4540,4488,4481,4490,4581,4472,4418,4382,4198,4264,4170,4147,4165,4138,4188,4013,1383,1532,1221,1236,1317,1345,1401,1388,1318,1231,1234,1273,1238,1229,1254,1257,1188,1219,1266,1203,1210,423,507,373,390,384,476,471,413,412,363,351,374,336,379,362,359,356,361,351,331,378,108,148,119,130,154,153,125,148,105,107,119,110,100,130,115,139,113,97,92,113,103,37,58,37,28,62,45,57,49,44,35,35,37,47,39,45,52,46,25,28,25,34,14,19,22,12,31,34,31,23,13,17,15,12,20,17,18,20,17,21,8,13,10,11,7,4,17,22,29,22,12,14,20,9,10,11,8,9,13,8,5,9,9,1,5,9,6,11,21,19,25,13,12,9,10,7,10,7,6,5,4,6,6,4,3,1,7,8,7,16,14,19,21,12,7,4,4,6,5,4,0,3,1,1,1,0,2,12,7,10,15,25,24,16,13,7,4,4,2,7,2,2,2,3,1,0,1,7,6,7,7,13,12,12,13,6,3,1,5,3,1,2,1,0,0,0,1,0,1,4,3,7,13,13,7,5,1,3,0,1,1,1,2,0,0,1,0,1,0,3,4,4,3,10,7,7,0,3,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,2,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000013425.1_ASM1342v1,7409,8032,5743,5541,5603,5289,5392,5464,5603,5552,5465,5451,5478,5342,5370,5465,5314,5370,5339,5281,5071,2261,2449,1669,1606,1722,1732,1761,1689,1700,1616,1672,1704,1626,1579,1666,1670,1685,1648,1745,1591,1611,744,737,487,510,560,536,561,549,530,525,504,533,507,516,518,468,494,524,521,473,481,241,228,171,203,199,201,180,163,190,164,166,169,159,162,160,154,168,152,178,143,122,76,92,47,74,58,60,48,51,54,50,53,54,47,55,55,61,59,53,54,46,52,20,31,20,18,24,60,32,22,22,26,20,14,23,21,19,19,26,14,18,21,24,11,6,7,8,16,6,11,9,6,12,9,8,7,4,13,5,15,9,12,15,17,1,2,7,9,2,5,7,4,3,6,6,4,3,5,8,14,8,6,6,6,6,5,1,1,4,4,4,7,1,3,1,3,5,3,4,2,3,6,1,6,0,4,1,1,2,1,6,1,4,5,0,3,2,5,1,2,2,2,3,5,4,0,5,2,1,0,1,0,2,0,4,0,1,1,2,1,1,1,0,2,3,1,5,1,0,1,0,1,2,0,1,0,2,3,2,3,2,1,4,0,1,0,3,3,2,0,0,0,0,0,0,2,0,0,2,3,1,0,0,1,0,11,0,1,0,0,0,0,0,0,1,0,5,0,1,1,2,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,2,1,1,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,1,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000006765.1_ASM676v1,8153,9423,6015,6567,6606,6661,6495,6287,6268,6173,6174,5994,6192,6056,5981,6120,5903,5921,5915,5762,5665,2217,2644,1783,1810,2016,2057,1771,1685,1659,1598,1706,1697,1618,1603,1613,1677,1561,1657,1500,1651,1716,668,752,539,597,562,673,541,476,474,510,444,490,483,461,453,447,449,459,438,425,465,187,232,161,215,258,223,217,156,156,156,147,133,114,140,155,142,159,164,139,139,115,59,86,71,95,107,110,88,65,48,60,47,57,45,49,51,54,45,53,45,43,46,39,46,74,122,69,61,31,31,29,36,23,22,22,29,31,21,23,18,24,10,9,12,15,32,29,49,43,24,20,13,18,8,7,17,10,22,10,14,6,5,10,3,9,13,27,11,40,25,12,13,3,3,14,9,7,12,6,7,4,5,2,3,5,9,6,30,11,25,20,7,11,7,5,2,9,8,6,11,2,5,2,2,1,1,6,8,11,14,27,8,9,5,3,1,1,0,2,3,1,1,1,1,1,0,0,3,4,12,23,27,5,2,1,1,2,2,0,2,2,0,0,0,0,0,0,1,1,3,8,3,7,3,3,0,1,1,2,0,3,0,1,0,0,0,5,2,2,2,2,0,1,4,3,4,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,1,5,2,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chromosome_GCF_000195955.2_ASM19595v2,6325,6504,4187,4346,4436,4566,4457,4336,4362,4233,4199,4252,4200,4169,4276,4177,4133,4133,3990,4050,4029,1731,1854,1142,1228,1288,1294,1262,1208,1186,1188,1171,1149,1131,1135,1144,1074,1090,1167,1104,1028,1103,436,518,317,346,372,399,372,306,386,323,377,319,330,300,294,283,358,273,264,281,297,138,195,121,110,98,103,89,88,99,112,106,71,90,82,91,94,81,57,94,103,97,56,37,40,49,32,36,34,23,28,18,25,50,37,32,20,29,20,62,31,21,22,12,18,16,27,12,11,8,7,8,8,6,10,4,4,3,6,9,8,10,21,7,6,6,3,8,3,2,0,2,2,2,1,3,3,2,4,3,2,2,2,2,3,1,1,3,2,1,4,1,1,2,1,1,0,2,0,2,1,1,0,2,2,2,2,2,0,0,1,0,1,2,1,0,0,1,2,1,1,0,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,2,0,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
chromosome_GCF_000006945.2_ASM694v2,5388,6692,4473,4743,5268,5193,5123,5035,5078,5098,5045,4733,4904,4785,4715,4666,4843,4764,4927,4863,4645,1492,1876,1204,1352,1528,1575,1381,1532,1428,1421,1381,1313,1275,1260,1330,1327,1361,1361,1302,1262,1352,424,526,396,434,546,523,454,409,371,412,375,368,357,366,403,386,417,417,417,372,348,116,201,149,163,168,148,168,130,138,104,120,110,129,127,123,128,122,111,85,114,133,58,56,54,49,152,71,51,46,56,47,37,70,127,76,67,65,46,78,52,38,35,13,29,21,39,68,30,35,29,25,21,30,26,10,21,20,21,22,22,16,17,11,7,12,13,12,52,36,24,20,20,12,10,16,16,10,2,9,12,11,1,3,1,4,12,5,23,31,25,18,13,6,7,10,4,6,4,5,6,2,5,4,2,3,3,8,5,10,23,20,11,15,7,3,6,8,2,4,3,2,1,1,5,0,0,2,11,5,6,20,11,7,4,4,4,3,1,4,0,1,2,2,0,1,2,1,2,9,4,5,5,4,7,3,2,0,2,0,1,1,2,0,2,1,0,0,0,0,1,1,0,4,2,3,1,4,1,2,0,1,1,1,2,1,0,0,0,0,1,2,1,0,0,0,0,1,3,1,2,2,1,1,0,0,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_018885085.1_ASM1888508v1,14582,14602,10124,10271,10086,10346,10435,10512,10534,10266,10103,9761,9875,9752,9761,9609,9760,9933,9569,9615,9473,4909,4753,3373,3660,3557,3707,3798,3681,3504,3515,3502,3388,3280,3245,3342,3370,3448,3425,3343,3311,3163,1695,1597,1210,1271,1271,1252,1213,1239,1174,1129,1152,1115,1084,1118,1141,1142,1139,1228,1117,1027,1078,573,588,411,494,443,437,464,465,439,400,381,388,388,378,399,411,394,404,405,392,389,226,226,153,167,173,161,171,145,154,127,150,143,135,167,139,151,160,130,127,124,111,76,65,46,50,67,56,74,54,63,52,59,54,63,54,57,40,48,62,65,49,57,23,24,22,15,24,29,23,21,26,26,20,23,16,24,23,28,17,26,22,25,24,13,11,8,9,12,17,17,11,16,12,12,12,10,18,15,9,11,14,13,10,9,11,8,7,5,6,11,14,7,10,7,8,4,9,10,6,4,7,7,1,5,10,8,3,8,3,5,8,6,3,3,5,4,6,5,4,5,4,3,7,6,4,7,9,7,1,5,5,5,5,1,1,2,4,8,3,0,3,6,2,4,3,2,5,8,2,0,2,3,2,5,1,0,2,3,1,2,2,3,5,1,5,2,0,6,6,6,2,4,2,5,5,5,1,1,0,3,4,1,3,1,8,3,3,3,2,3,1,1,1,2,2,3,1,4,3,1,2,3,2,2,3,1,1,1,2,2,3,1,1,1,2,3,1,1,0,1,2,1,3,2,2,2,2,2,0,3,0,4,0,0,1,0,2,0,2,0,2,3,1,0,0,0,2,0,1,0,1,1,1,1,1,2,0,1,1,0,2,0,0,1,1,0,1,0,1,0,1,1,0,0,2,2,0,1,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0
chromosome_GCF_009769205.1_ASM976920v1,3762,4111,2957,3056,3163,3176,3091,3258,3214,3156,3189,3047,3078,3078,3014,3021,2894,2970,3015,3070,2850,1107,1210,866,889,931,989,1032,1032,1064,970,933,954,951,894,860,915,918,992,912,861,866,326,388,273,274,353,339,339,312,282,287,318,298,274,261,282,269,271,260,275,280,258,112,132,102,109,170,125,116,91,117,94,98,86,113,102,81,100,98,80,103,82,81,38,44,49,31,32,45,42,37,35,31,36,29,27,28,28,37,24,23,26,27,22,20,13,15,13,6,17,24,6,6,11,14,15,15,7,10,12,7,19,12,22,11,9,9,2,6,14,15,7,7,11,4,10,5,7,4,7,6,4,11,8,3,5,1,2,5,7,11,8,10,2,10,8,5,2,3,9,7,4,6,6,3,2,2,7,2,7,2,7,5,4,5,6,5,6,4,6,4,2,0,2,2,4,7,2,2,5,1,1,1,4,3,4,6,4,1,5,0,2,2,3,2,2,2,3,0,1,2,1,3,4,1,2,7,4,2,3,0,1,0,4,2,1,1,2,0,1,1,2,1,2,1,2,2,5,3,4,3,0,1,2,4,1,2,0,1,0,0,0,0,2,0,0,2,1,1,3,2,0,2,3,1,0,1,1,2,1,1,0,0,0,0,0,0,1,1,2,1,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_1_GCF_008369605.1_ASM836960v1,2932,3645,2734,2605,2836,3019,2920,3164,3181,3178,2966,3013,3006,2839,2732,2791,3000,2894,2938,2968,2897,831,953,700,696,865,908,963,884,883,874,824,790,786,752,799,898,771,770,749,835,852,231,283,182,216,291,289,249,265,252,233,207,222,228,212,207,227,234,254,235,219,220,67,104,69,96,112,90,84,60,72,73,63,63,66,61,62,73,55,99,66,62,70,48,34,35,27,55,44,26,23,27,22,21,18,26,26,17,19,21,33,19,16,18,8,11,13,15,43,26,16,10,14,10,12,11,11,10,11,10,6,25,5,8,6,3,17,10,42,56,29,21,13,5,4,4,4,4,6,2,1,0,1,8,3,1,3,5,12,14,48,25,11,6,3,8,3,4,4,3,3,2,2,1,2,1,2,5,12,7,9,45,15,14,4,3,5,1,1,3,1,1,0,1,0,2,1,0,4,10,6,10,29,13,7,3,3,0,3,2,1,1,0,1,1,1,0,0,0,2,8,9,5,10,5,4,0,1,0,0,3,1,0,1,1,0,0,0,1,0,4,8,4,2,8,3,1,2,0,1,0,1,2,0,1,0,0,0,0,0,0,1,6,1,2,2,2,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_2_GCF_008369605.1_ASM836960v1,1706,2209,1411,1327,1500,1696,1615,1655,1579,1801,1531,1719,1518,1580,1443,1472,1481,1778,1682,1558,1524,412,465,482,318,456,487,509,589,390,458,373,439,404,372,360,417,381,414,401,532,425,119,122,99,271,131,142,141,140,125,113,105,115,100,113,112,133,112,153,114,90,110,34,56,47,35,51,40,36,30,26,55,31,37,40,39,24,41,31,77,34,42,29,17,19,12,13,12,17,24,16,16,9,9,18,12,12,8,6,15,140,9,6,6,3,6,5,8,11,12,2,5,6,4,5,3,6,8,3,3,4,10,1,3,4,3,2,1,9,18,7,7,5,3,2,4,1,2,1,2,4,1,6,5,2,0,2,4,3,6,13,9,6,6,5,2,1,1,2,2,0,1,1,2,0,3,2,3,2,2,7,11,2,3,2,0,1,2,0,0,0,1,1,0,0,0,0,0,0,3,5,4,6,6,5,0,2,1,0,1,1,4,0,1,0,0,0,0,1,0,4,1,2,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
