,arm_3_gap_0,arm_3_gap_1,arm_3_gap_2,arm_3_gap_3,arm_3_gap_4,arm_3_gap_5,arm_3_gap_6,arm_3_gap_7,arm_3_gap_8,arm_3_gap_9,arm_3_gap_10,arm_3_gap_11,arm_3_gap_12,arm_3_gap_13,arm_3_gap_14,arm_3_gap_15,arm_3_gap_16,arm_3_gap_17,arm_3_gap_18,arm_3_gap_19,arm_3_gap_20,arm_4_gap_0,arm_4_gap_1,arm_4_gap_2,arm_4_gap_3,arm_4_gap_4,arm_4_gap_5,arm_4_gap_6,arm_4_gap_7,arm_4_gap_8,arm_4_gap_9,arm_4_gap_10,arm_4_gap_11,arm_4_gap_12,arm_4_gap_13,arm_4_gap_14,arm_4_gap_15,arm_4_gap_16,arm_4_gap_17,arm_4_gap_18,arm_4_gap_19,arm_4_gap_20,arm_5_gap_0,arm_5_gap_1,arm_5_gap_2,arm_5_gap_3,arm_5_gap_4,arm_5_gap_5,arm_5_gap_6,arm_5_gap_7,arm_5_gap_8,arm_5_gap_9,arm_5_gap_10,arm_5_gap_11,arm_5_gap_12,arm_5_gap_13,arm_5_gap_14,arm_5_gap_15,arm_5_gap_16,arm_5_gap_17,arm_5_gap_18,arm_5_gap_19,arm_5_gap_20,arm_6_gap_0,arm_6_gap_1,arm_6_gap_2,arm_6_gap_3,arm_6_gap_4,arm_6_gap_5,arm_6_gap_6,arm_6_gap_7,arm_6_gap_8,arm_6_gap_9,arm_6_gap_10,arm_6_gap_11,arm_6_gap_12,arm_6_gap_13,arm_6_gap_14,arm_6_gap_15,arm_6_gap_16,arm_6_gap_17,arm_6_gap_18,arm_6_gap_19,arm_6_gap_20,arm_7_gap_0,arm_7_gap_1,arm_7_gap_2,arm_7_gap_3,arm_7_gap_4,arm_7_gap_5,arm_7_gap_6,arm_7_gap_7,arm_7_gap_8,arm_7_gap_9,arm_7_gap_10,arm_7_gap_11,arm_7_gap_12,arm_7_gap_13,arm_7_gap_14,arm_7_gap_15,arm_7_gap_16,arm_7_gap_17,arm_7_gap_18,arm_7_gap_19,arm_7_gap_20,arm_8_gap_0,arm_8_gap_1,arm_8_gap_2,arm_8_gap_3,arm_8_gap_4,arm_8_gap_5,arm_8_gap_6,arm_8_gap_7,arm_8_gap_8,arm_8_gap_9,arm_8_gap_10,arm_8_gap_11,arm_8_gap_12,arm_8_gap_13,arm_8_gap_14,arm_8_gap_15,arm_8_gap_16,arm_8_gap_17,arm_8_gap_18,arm_8_gap_19,arm_8_gap_20,arm_9_gap_0,arm_9_gap_1,arm_9_gap_2,arm_9_gap_3,arm_9_gap_4,arm_9_gap_5,arm_9_gap_6,arm_9_gap_7,arm_9_gap_8,arm_9_gap_9,arm_9_gap_10,arm_9_gap_11,arm_9_gap_12,arm_9_gap_13,arm_9_gap_14,arm_9_gap_15,arm_9_gap_16,arm_9_gap_17,arm_9_gap_18,arm_9_gap_19,arm_9_gap_20,arm_10_gap_0,arm_10_gap_1,arm_10_gap_2,arm_10_gap_3,arm_10_gap_4,arm_10_gap_5,arm_10_gap_6,arm_10_gap_7,arm_10_gap_8,arm_10_gap_9,arm_10_gap_10,arm_10_gap_11,arm_10_gap_12,arm_10_gap_13,arm_10_gap_14,arm_10_gap_15,arm_10_gap_16,arm_10_gap_17,arm_10_gap_18,arm_10_gap_19,arm_10_gap_20,arm_11_gap_0,arm_11_gap_1,arm_11_gap_2,arm_11_gap_3,arm_11_gap_4,arm_11_gap_5,arm_11_gap_6,arm_11_gap_7,arm_11_gap_8,arm_11_gap_9,arm_11_gap_10,arm_11_gap_11,arm_11_gap_12,arm_11_gap_13,arm_11_gap_14,arm_11_gap_15,arm_11_gap_16,arm_11_gap_17,arm_11_gap_18,arm_11_gap_19,arm_11_gap_20,arm_12_gap_0,arm_12_gap_1,arm_12_gap_2,arm_12_gap_3,arm_12_gap_4,arm_12_gap_5,arm_12_gap_6,arm_12_gap_7,arm_12_gap_8,arm_12_gap_9,arm_12_gap_10,arm_12_gap_11,arm_12_gap_12,arm_12_gap_13,arm_12_gap_14,arm_12_gap_15,arm_12_gap_16,arm_12_gap_17,arm_12_gap_18,arm_12_gap_19,arm_12_gap_20,arm_13_gap_0,arm_13_gap_1,arm_13_gap_2,arm_13_gap_3,arm_13_gap_4,arm_13_gap_5,arm_13_gap_6,arm_13_gap_7,arm_13_gap_8,arm_13_gap_9,arm_13_gap_10,arm_13_gap_11,arm_13_gap_12,arm_13_gap_13,arm_13_gap_14,arm_13_gap_15,arm_13_gap_16,arm_13_gap_17,arm_13_gap_18,arm_13_gap_19,arm_13_gap_20,arm_14_gap_0,arm_14_gap_1,arm_14_gap_2,arm_14_gap_3,arm_14_gap_4,arm_14_gap_5,arm_14_gap_6,arm_14_gap_7,arm_14_gap_8,arm_14_gap_9,arm_14_gap_10,arm_14_gap_11,arm_14_gap_12,arm_14_gap_13,arm_14_gap_14,arm_14_gap_15,arm_14_gap_16,arm_14_gap_17,arm_14_gap_18,arm_14_gap_19,arm_14_gap_20,arm_15_gap_0,arm_15_gap_1,arm_15_gap_2,arm_15_gap_3,arm_15_gap_4,arm_15_gap_5,arm_15_gap_6,arm_15_gap_7,arm_15_gap_8,arm_15_gap_9,arm_15_gap_10,arm_15_gap_11,arm_15_gap_12,arm_15_gap_13,arm_15_gap_14,arm_15_gap_15,arm_15_gap_16,arm_15_gap_17,arm_15_gap_18,arm_15_gap_19,arm_15_gap_20,arm_16_gap_0,arm_16_gap_1,arm_16_gap_2,arm_16_gap_3,arm_16_gap_4,arm_16_gap_5,arm_16_gap_6,arm_16_gap_7,arm_16_gap_8,arm_16_gap_9,arm_16_gap_10,arm_16_gap_11,arm_16_gap_12,arm_16_gap_13,arm_16_gap_14,arm_16_gap_15,arm_16_gap_16,arm_16_gap_17,arm_16_gap_18,arm_16_gap_19,arm_16_gap_20,arm_17_gap_0,arm_17_gap_1,arm_17_gap_2,arm_17_gap_3,arm_17_gap_4,arm_17_gap_5,arm_17_gap_6,arm_17_gap_7,arm_17_gap_8,arm_17_gap_9,arm_17_gap_10,arm_17_gap_11,arm_17_gap_12,arm_17_gap_13,arm_17_gap_14,arm_17_gap_15,arm_17_gap_16,arm_17_gap_17,arm_17_gap_18,arm_17_gap_19,arm_17_gap_20,arm_18_gap_0,arm_18_gap_1,arm_18_gap_2,arm_18_gap_3,arm_18_gap_4,arm_18_gap_5,arm_18_gap_6,arm_18_gap_7,arm_18_gap_8,arm_18_gap_9,arm_18_gap_10,arm_18_gap_11,arm_18_gap_12,arm_18_gap_13,arm_18_gap_14,arm_18_gap_15,arm_18_gap_16,arm_18_gap_17,arm_18_gap_18,arm_18_gap_19,arm_18_gap_20,arm_19_gap_0,arm_19_gap_1,arm_19_gap_2,arm_19_gap_3,arm_19_gap_4,arm_19_gap_5,arm_19_gap_6,arm_19_gap_7,arm_19_gap_8,arm_19_gap_9,arm_19_gap_10,arm_19_gap_11,arm_19_gap_12,arm_19_gap_13,arm_19_gap_14,arm_19_gap_15,arm_19_gap_16,arm_19_gap_17,arm_19_gap_18,arm_19_gap_19,arm_19_gap_20,arm_20_gap_0,arm_20_gap_1,arm_20_gap_2,arm_20_gap_3,arm_20_gap_4,arm_20_gap_5,arm_20_gap_6,arm_20_gap_7,arm_20_gap_8,arm_20_gap_9,arm_20_gap_10,arm_20_gap_11,arm_20_gap_12,arm_20_gap_13,arm_20_gap_14,arm_20_gap_15,arm_20_gap_16,arm_20_gap_17,arm_20_gap_18,arm_20_gap_19,arm_20_gap_20
chromosome_GCF_000005845.2_ASM584v2,40328,55212,37771,39501,42153,42527,42517,41710,41951,42742,41943,41411,42379,41183,41309,41960,41023,41366,41884,40936,40840,10329,14246,9968,10352,11544,11685,11450,11450,11280,11135,11190,11250,11106,10969,10791,10966,10969,11092,10980,11045,10961,2724,3874,2952,2972,3347,3375,3171,3127,3044,2941,3063,3092,3005,2894,2914,3047,2857,3038,2940,3030,2982,796,1160,801,769,875,859,850,758,815,820,802,782,803,796,787,830,794,775,735,786,789,198,293,211,186,278,246,262,197,278,224,229,297,235,250,221,227,383,260,280,248,249,64,80,59,63,114,87,102,73,66,75,87,69,69,57,64,70,62,78,67,49,62,25,21,23,27,60,44,42,35,35,20,28,26,20,20,30,15,23,19,15,23,12,6,13,11,12,38,22,30,14,12,15,15,11,12,14,9,6,5,7,7,4,5,4,7,8,10,32,24,21,10,12,5,10,10,5,7,4,4,5,6,6,3,1,4,6,7,4,25,9,8,10,10,1,3,4,2,3,0,3,5,2,0,1,1,5,4,2,3,8,4,6,2,2,2,0,4,2,0,1,0,1,0,0,0,0,0,4,2,1,1,5,2,3,2,2,2,0,0,0,0,0,5,0,0,0,0,1,1,4,2,2,2,1,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000009045.1_ASM904v1,44152,51496,37552,36744,39287,41097,38834,38883,38666,38289,39777,39113,38919,39585,39766,38411,38789,38884,37856,38136,37912,11762,13441,10185,10024,10499,11142,10771,10528,10604,10409,10511,10747,10866,10564,10728,10522,10417,10669,10282,10229,10411,3290,3785,2664,2763,2817,3167,3013,2981,2911,2937,2883,2905,2795,2942,2917,2862,2884,2848,2831,2837,2882,883,1045,715,695,751,862,767,809,726,733,794,857,773,824,806,792,759,776,752,751,768,220,289,178,144,212,215,233,199,221,219,232,235,224,206,215,247,196,229,188,206,205,42,63,55,37,69,79,75,75,47,65,62,57,68,60,64,73,66,74,47,81,50,28,22,19,24,36,38,29,27,23,39,22,23,19,20,26,21,24,18,14,23,14,10,13,9,15,32,20,27,18,17,12,12,9,15,10,8,9,4,11,11,10,6,2,10,9,7,18,14,19,23,14,8,4,7,8,6,6,1,4,4,2,2,3,3,12,7,11,16,25,24,21,13,7,4,5,3,7,2,2,3,3,1,1,1,8,7,7,7,13,12,13,14,6,3,1,7,5,1,3,2,0,0,0,1,0,1,4,3,7,14,13,7,5,1,3,0,1,1,1,2,0,0,2,0,1,0,3,4,4,3,10,8,7,1,3,0,1,0,1,0,1,0,0,0,0,1,1,2,3,0,2,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,3,0,0,1,0,1,2,0,0,0,0,0,0,0,2,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000013425.1_ASM1342v1,38410,43673,32666,29883,31475,30997,29388,30511,30815,29515,31142,31211,30087,31003,30873,29957,30628,30729,29245,30193,30189,10689,11661,9336,8423,8707,9459,8571,8382,9393,8377,8563,9394,8381,8499,9064,8451,8384,9225,8429,8347,9054,3160,3386,2525,2463,2536,2620,2611,2677,2506,2508,2532,2518,2484,2472,2474,2496,2457,2532,2462,2484,2500,892,923,711,690,725,776,771,727,713,661,696,733,711,726,733,712,720,721,748,674,654,269,307,231,206,190,236,192,214,241,196,232,231,196,214,223,216,216,248,192,202,224,68,87,65,58,58,118,63,66,66,73,61,50,66,67,67,63,78,72,61,66,80,22,28,21,14,34,14,22,22,18,23,26,18,19,21,26,16,32,17,21,32,36,5,3,8,9,10,10,8,6,5,11,11,8,9,6,12,21,13,11,8,9,6,6,4,1,4,7,4,8,2,3,3,4,7,7,7,4,4,7,1,6,1,7,2,2,2,1,6,1,4,7,0,3,2,5,1,2,2,2,3,8,4,0,5,2,1,0,1,0,2,0,4,0,1,1,2,1,1,1,0,2,3,1,5,1,0,1,0,1,2,0,1,1,2,3,2,3,2,2,4,0,1,0,3,3,2,0,0,0,0,0,0,2,0,0,2,3,1,0,0,1,1,11,0,1,0,0,0,0,0,0,1,0,5,0,1,1,2,4,2,1,1,0,1,2,1,0,0,0,0,0,0,0,2,1,1,0,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,2,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_000006765.1_ASM676v1,93466,103966,62831,74463,67814,69222,72441,65643,65896,70588,66212,66315,72523,66726,67409,73473,64566,66066,71307,64233,64375,23718,29888,22942,19876,19927,24595,19036,18553,23512,18446,19270,23294,19590,19183,23118,19388,18625,23149,18259,18509,22852,8018,8757,6429,7222,5974,7200,6639,5573,6476,6465,5719,6524,6476,5663,6481,6417,5574,6547,6378,5387,6372,2316,2811,1828,2077,1951,1952,2036,1739,1727,1820,1711,1685,1792,1706,1768,1844,1620,1776,1762,1672,1737,643,892,691,616,617,699,587,527,579,478,477,638,518,529,584,536,451,603,571,520,565,225,285,237,272,198,223,187,182,161,186,142,176,152,181,158,151,160,188,194,126,164,73,92,67,71,86,82,69,52,55,64,48,49,62,47,56,69,50,43,48,55,47,31,39,48,27,55,40,24,25,17,25,33,23,25,19,19,21,15,21,19,12,23,12,8,35,13,33,30,13,18,12,8,4,13,13,7,15,5,10,6,7,6,4,8,10,13,16,27,9,10,9,4,6,3,4,3,3,2,1,2,1,1,0,1,3,7,12,25,27,5,2,3,1,3,3,3,2,3,0,0,0,0,1,1,1,1,3,8,3,7,4,3,0,1,1,2,0,3,0,1,1,1,1,5,2,2,3,2,0,2,4,3,4,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,2,5,2,5,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chromosome_GCF_000195955.2_ASM19595v2,68824,73867,45449,45889,48117,49663,47187,47477,46719,46519,48831,47818,47326,46982,46929,46881,46078,47108,46507,47065,47520,21186,20592,12997,13526,13601,15283,13285,13627,14431,13300,13840,14392,13156,13054,14324,13097,13131,14395,13076,13394,14052,5864,6467,3691,4174,4228,4290,4099,4250,4094,3958,4305,3924,4067,4040,3998,3878,4073,3815,3896,4180,3941,1653,2042,1118,1270,1246,1268,1158,1111,1091,1161,1198,1159,1205,1161,1226,1244,1134,1111,1109,1182,1125,531,584,376,395,359,352,335,311,325,328,370,354,370,405,381,336,341,400,330,357,346,202,237,106,126,108,111,91,92,96,111,145,116,102,117,78,94,103,98,92,152,106,44,52,27,33,36,28,21,41,22,33,42,23,32,26,32,27,32,26,27,39,34,9,19,13,16,14,19,3,7,11,11,12,14,11,12,13,12,7,10,7,11,11,5,11,2,1,4,2,3,8,8,6,6,6,5,5,6,1,2,8,1,1,1,1,4,1,2,2,4,5,2,2,0,0,2,3,0,2,0,2,3,3,3,3,6,2,1,2,0,3,2,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,0,1,0,0,0,0,0,1,1,1,0,2,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
chromosome_GCF_000006945.2_ASM694v2,48328,61017,39356,43095,45506,45761,45578,44277,44635,46099,44919,43948,45141,44354,43863,45065,43648,44167,44575,43913,44103,12706,15967,10768,11631,12627,12956,12525,12343,12456,12083,12149,12268,11944,11913,11728,12158,11952,12085,11680,11934,12110,3406,4386,3033,3315,3639,3692,3514,3341,3303,3256,3300,3324,3347,3281,3161,3302,3327,3346,3170,3099,3277,1001,1304,882,984,1003,994,1012,868,859,903,894,902,923,926,820,948,833,854,817,864,919,328,356,268,257,395,282,261,237,256,257,242,260,332,283,261,283,270,311,244,235,231,75,117,83,85,130,87,95,86,67,69,84,103,64,87,73,71,85,88,77,69,69,21,18,22,26,66,49,36,29,43,24,28,36,35,31,7,20,27,24,24,15,24,14,18,14,23,36,32,19,19,7,14,12,11,11,9,8,7,3,5,10,6,6,4,9,5,11,27,21,11,17,10,3,8,9,3,4,5,2,2,2,6,0,1,4,11,5,6,21,11,7,4,6,4,3,2,4,2,2,3,4,1,2,3,1,2,9,5,5,5,4,7,3,2,0,3,0,2,1,2,0,2,1,0,0,0,0,1,1,0,4,3,3,1,4,1,2,0,1,1,1,2,1,0,0,0,0,1,3,1,0,0,0,0,1,3,1,2,2,1,1,0,0,0,0,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
chromosome_GCF_018885085.1_ASM1888508v1,58953,65260,52474,48788,50102,51741,48985,50759,50286,47657,50421,49183,47603,49942,49797,47370,49453,49909,46763,48734,48550,17564,18136,16248,15145,14624,16385,15203,14961,15981,14364,14858,15664,14380,14371,15485,14461,14395,15621,14272,14126,15330,5328,5605,4574,4759,4655,4778,4829,4803,4617,4389,4639,4456,4315,4466,4418,4501,4435,4644,4412,4323,4400,1505,1783,1407,1397,1492,1372,1398,1457,1438,1329,1327,1358,1306,1344,1350,1283,1380,1389,1338,1372,1312,499,565,479,416,453,469,468,394,468,399,411,456,399,445,459,429,427,445,401,390,411,165,161,122,132,135,135,133,140,139,126,135,153,154,149,157,106,147,156,141,120,138,42,53,46,36,58,52,41,55,49,46,50,50,39,51,41,46,43,56,50,52,42,22,19,16,14,16,28,22,20,20,16,22,22,15,26,21,12,20,20,28,16,15,12,10,7,8,10,12,16,12,12,10,13,8,12,13,6,5,9,11,4,8,16,8,5,9,3,5,9,6,5,4,8,4,6,6,5,5,4,4,7,7,5,9,12,7,1,5,5,7,5,1,1,3,4,8,4,1,3,7,3,4,3,2,5,8,2,1,2,3,3,6,1,0,2,3,1,3,2,3,5,1,5,2,0,6,6,6,2,4,2,5,5,5,1,1,1,3,4,2,3,1,9,3,3,3,2,3,1,1,1,2,2,3,2,4,3,1,3,3,2,2,3,1,1,1,2,2,3,1,1,1,2,3,1,1,0,1,2,1,3,2,2,2,2,2,0,3,0,4,0,0,1,0,2,0,2,0,2,3,1,0,0,0,2,0,1,0,1,1,1,1,1,2,0,1,1,0,2,0,0,1,1,0,1,0,1,0,1,1,0,0,2,2,0,1,2,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0
chromosome_GCF_009769205.1_ASM976920v1,24084,27653,21236,19218,20893,22231,20322,21223,21003,19742,21009,20820,19811,21039,20841,19527,20506,20839,19694,20311,20272,6851,7658,5724,5606,5886,6174,5838,6018,6141,5698,5773,5866,5875,5811,5739,5635,5648,5879,5678,5497,5635,1810,2217,1679,1565,1806,1895,1807,1852,1621,1663,1694,1571,1642,1730,1612,1556,1667,1616,1596,1758,1559,550,688,506,429,568,561,459,508,522,433,466,468,460,493,480,469,504,439,471,442,472,158,179,149,116,124,146,143,141,141,147,159,130,136,142,143,148,137,137,119,128,112,49,59,36,34,27,42,50,43,28,39,44,65,43,45,41,46,24,42,40,54,45,11,17,11,12,17,20,15,14,22,12,23,13,13,21,16,16,10,20,22,7,11,3,6,7,7,11,10,14,5,12,14,10,3,4,11,10,5,6,11,7,5,5,7,3,7,2,7,5,5,6,7,6,7,5,6,6,3,2,2,3,4,7,3,2,5,2,1,1,4,4,4,6,5,1,5,0,3,3,3,2,3,2,4,0,1,2,1,4,4,1,2,7,4,2,3,0,2,1,4,2,1,1,2,0,2,1,2,1,2,1,2,2,5,3,4,3,0,1,2,4,1,2,0,1,0,0,0,0,2,0,0,2,1,1,3,2,0,3,3,1,0,1,1,2,1,1,0,0,0,0,0,0,1,1,2,1,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_1_GCF_008369605.1_ASM836960v1,27461,32460,24588,25342,26057,27629,26847,26785,26547,26805,26849,26589,26807,26610,26355,26443,26519,26487,26670,26575,26365,6986,8336,6310,6584,7233,7582,7315,7213,7251,7169,7097,7016,6991,6773,6997,7125,6661,6999,6813,6985,6922,1912,2273,1720,1933,2045,2163,2078,1959,1960,1872,1834,1921,1959,1779,1838,1969,1837,1927,1867,1835,1760,527,623,489,587,630,608,595,487,486,487,536,518,493,473,494,540,471,543,488,469,489,168,180,154,129,176,177,166,152,156,152,135,147,129,145,148,135,132,147,124,135,120,42,58,49,50,81,53,39,51,48,46,50,48,31,34,39,34,31,68,35,39,38,15,23,20,48,68,37,28,19,19,14,11,10,11,16,11,7,9,7,14,9,4,5,9,14,16,55,29,15,6,5,12,5,8,4,8,4,3,4,2,4,2,3,6,14,7,10,45,18,17,6,3,6,3,2,3,3,1,0,1,0,2,2,0,4,10,6,10,29,14,7,4,3,0,3,2,1,1,0,1,1,1,0,0,0,2,9,11,6,10,6,4,0,1,0,0,3,1,0,1,1,0,0,0,1,0,4,9,4,2,8,3,1,2,0,1,0,1,2,0,1,0,0,0,0,0,0,1,7,1,2,2,2,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromosome_2_GCF_008369605.1_ASM836960v1,10270,12382,9359,9409,10220,10745,10152,10553,10235,10387,10452,10466,10437,10286,10160,10072,10077,10387,10321,10315,10171,2629,3189,2533,2463,2707,2849,2835,2820,2711,2731,2701,2802,2652,2561,2621,2696,2620,2785,2640,2883,2744,691,855,707,900,771,822,828,732,756,729,721,706,688,723,728,726,644,784,701,696,683,189,229,193,206,245,205,220,183,171,204,190,207,196,203,167,224,221,243,204,205,178,61,63,46,58,49,66,75,65,71,45,50,66,63,69,43,37,50,176,52,47,40,11,23,16,16,20,18,13,15,16,17,12,15,17,17,19,15,20,19,18,15,12,7,6,6,13,19,10,9,6,4,3,7,7,5,3,3,8,2,10,6,7,2,2,6,4,7,13,9,8,7,6,2,1,3,2,4,0,3,1,3,0,4,4,3,2,3,7,11,2,3,3,0,1,3,0,0,0,1,1,0,0,0,0,0,1,4,5,4,6,7,5,0,2,2,0,1,1,5,1,1,0,0,0,0,1,0,4,1,2,3,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
