PC1,PC2,PC3,PC4,PC5,Superdomain,Domain,Phylum,Class,Order,Family,Genus,Species,ID,Replicons_name,Replicons_type,ID-replicon,fullname,GC,size,Coding size,Non-coding size,coding_percentage,non_coding_percentage,overlap,overlap_percentage
-0.23815441935500192,0.8324794858526048,-1.7694705337441932,-0.17848376794299928,-4.839615522798683e-16,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCF_000006945.2_ASM694v2,NC_003277.2,plasmid,plasmid_pSLT_GCF_000006945.2_ASM694v2,Salmonella enterica,0.531,93933,77369,19097,82.366154599555,20.33044829825514,2533,2.6966028978101413
1.2589461015145784,0.42652123665019853,0.7647241489103234,-1.2672019811842612,-4.839615522798682e-16,Prokaryote,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,GCF_018885085.1_ASM1888508v1,NZ_CP076402.1,plasmid,plasmid_unnamed_GCF_018885085.1_ASM1888508v1,Clostridioides difficile,0.245,6760,4189,2557,61.96745562130177,37.82544378698225,-14,-0.20710059171597633
-0.04878085549739134,-2.0016579041775655,-0.32075485655957414,-0.0803047231708916,-4.839615522798684e-16,Prokaryote,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,GCF_009769205.1_ASM976920v1,NZ_CP039267.1,plasmid,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1,Lactobacillus crispatus,0.334,16343,10790,5553,66.02215015603011,33.97784984396989,0,0.0
-1.9874472062928663,0.39644303560142047,0.9143753039478288,0.000210223838295233,-4.839615522798677e-16,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,GCF_008369605.1_ASM836960v1,NZ_CP043555.1,plasmid,plasmid_unnamed_GCF_008369605.1_ASM836960v1,Vibrio cholerae,0.412,49113,42060,7126,85.63924011972391,14.509396697412091,73,0.1486368171359925
1.0154363796306793,0.3462141460733419,0.41112593744561576,1.525780248459856,-4.839615522798685e-16,Prokaryote,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,GCF_017821535.1_ASM1782153v1,NZ_CP071983.1,plasmid,plasmid_pMT5135_GCF_017821535.1_ASM1782153v1,Helicobacter pylori,0.341,9259,7285,1964,78.68020304568529,21.211793930230048,-10,-0.10800302408467437
